SUBJECT_NO,GENDER,MODIFIED_DATETIME,DOB,NAME,NATIONALITY_CD,ID,ID_TYPE,DATE_ISSUE,DATE_EXPIRE,LICENSE_PLATE,VEHICLE_MODEL,VEHICLE_TYPE,REG_DATE
dc825ae6-1361-4630-9932-c5f364bcab25,M,12/22/2015 21:22,4/11/2019,Belita Yosevitz,China,3D4PH9FG2BT027435,1,2/24/2020 12:58,10/9/2017 10:02,TRURD38J981249273,98,Oldsmobile,4/4/2020 3:38
166b9f9d-beba-4ca2-91f4-27b41fe0923b,M,9/8/2021 20:30,23-07-2021,Judye Stirman,Japan,WAUNF78P77A268382,3,4/19/2017 8:40,5/31/2020 15:16,WAUAF78E36A734031,500SEL,Mercedes-Benz,7/20/2016 4:59
c54b49ec-4800-4a1c-a235-1849e08333c3,F,11/12/2019 13:10,10/9/2020,Rowland Starbeck,China,4T1BD1FK7FU817233,2,12/2/2018 16:29,9/7/2021 16:27,3GYFNAEY6BS606425,Safari,GMC,6/15/2020 16:09
26c3fae3-ec4e-4a01-b850-6c94afc7294b,F,11/24/2021 10:50,21-07-2015,Beverlie Stadden,Egypt,WAUDT94F55N489353,2,6/16/2019 0:59,4/12/2021 12:31,1N6AA0CJ5DN909430,Caravan,Dodge,6/30/2018 5:52
544f9d0c-5319-4d63-9aa8-01ceba870b45,F,10/27/2015 10:06,3/5/2018,Golda Yabsley,Russia,19UUA56923A851511,1,2/15/2015 12:16,10/26/2018 13:05,WAULL44E45N159113,Sonata,Hyundai,4/2/2020 23:10
2924bb8f-f360-475b-bc20-2a327694c45a,M,5/11/2021 23:37,10/12/2016,Broderic Eyden,Ivory Coast,5TDBW5G11BS243058,1,9/3/2018 9:13,10/25/2020 12:23,WBAHN03517D955000,Camaro,Chevrolet,3/11/2015 4:19
2da5c01e-f205-47e9-8eee-387e0ddd24f9,M,1/8/2017 16:19,9/12/2019,Janeczka Undy,Mongolia,5GAKRDKD1DJ519338,2,4/14/2017 5:52,8/25/2015 8:02,SCFAB05DX9G448357,Escort,Ford,12/22/2018 16:55
6d50c5eb-e79b-4be9-a06b-a160e795bf46,F,10/6/2017 12:21,21-01-2015,Daphna Bello,Czech Republic,3D7TT2CT4BG193425,3,3/22/2021 4:15,12/21/2017 5:13,1FTWW3B57AE288572,SL-Class,Mercedes-Benz,9/8/2015 15:47
a2d140e8-93c5-445b-9566-f2df5fb1ccb0,M,4/20/2019 23:21,11/6/2019,Aldon Veevers,Russia,WA1WMBFEXDD921180,2,1/27/2020 21:27,4/11/2021 11:01,3N1BC1CP1CK053076,Grand Prix,Pontiac,7/12/2019 0:07
b9903543-5855-428d-80a6-2ea1a218ab73,F,10/2/2017 2:49,17-11-2017,Kerstin Zold,Mozambique,KMHGN4JE4FU961053,1,4/24/2018 9:10,10/23/2021 20:34,WAUDG98E55A192354,Q,Infiniti,2/2/2021 16:58
a9d6396d-86b2-420d-9fda-7f3735999512,F,7/11/2017 5:00,12/10/2017,Mireielle Chaldecott,Democratic Republic of the Congo,WAUDGAFL9AA759050,2,6/9/2020 9:19,5/8/2020 15:08,1GYS4JEF0CR337651,SRX,Cadillac,3/5/2015 4:20
45c908ac-6451-4350-97ea-588c4f161e86,F,1/24/2017 13:40,7/5/2020,Pieter Grimestone,Ghana,4T1BF1FKXFU412770,1,10/21/2017 21:04,3/2/2020 14:59,JTHBL1EF2D5751952,LS,Lexus,1/5/2020 21:26
9978a9cb-cbb2-4e2d-b190-4e922727f0f7,F,7/20/2015 20:07,21-12-2017,Elston Worley,Dominica,5GAER23D49J045859,2,10/11/2021 15:21,3/3/2015 12:29,3VWKP7AJ2EM698004,4Runner,Toyota,10/24/2019 21:58
9ade20ff-1a3f-4708-909a-345bdea4e046,F,7/26/2021 5:43,21-08-2015,Page Dicty,Portugal,1N6AF0KY5EN859114,3,8/20/2018 22:34,10/9/2021 13:44,1GD22ZCG1DZ796593,626,Mazda,6/2/2015 11:58
cfaa68c2-3ba8-488b-9d0d-c79555131a94,F,8/26/2018 22:56,23-02-2016,Gustaf Goforth,Philippines,WBADN63472G158671,1,12/15/2021 23:22,6/15/2017 23:36,2FMDK3KC4AB199941,DeVille,Cadillac,2/8/2018 15:45
970e0896-45c4-45be-94fd-fba64aac02aa,M,1/3/2017 2:02,24-04-2019,Loleta Addison,Brazil,WBABN33433P610753,3,8/20/2019 3:36,8/11/2015 14:40,JTDKDTB39E1733185,LS,Lincoln,9/7/2017 11:26
cfafa2e5-9fb7-4107-a5bc-6ea029278ac1,M,1/30/2019 12:27,12/11/2017,Elbertine Shackle,Slovenia,KMHFG4JG0EA705645,1,2/18/2019 23:51,11/16/2021 12:43,WBA3A9G5XEN586035,Dakota,Dodge,6/15/2018 7:10
1bfe6e61-3007-4b40-a092-4b2e0eb04098,M,10/15/2017 13:30,18-07-2017,Saul Goldsbury,Indonesia,WBA3G7C5XEF878707,1,8/5/2017 14:57,8/24/2018 12:01,5N1AR2MM6EC314336,Acadia,GMC,3/2/2020 0:47
8fd0bd0d-9f2f-4dbc-914f-0af107e6d8e0,M,8/29/2020 23:49,1/1/2019,Cristabel Mattersey,Poland,3C4PDCAB2DT155890,2,5/11/2016 15:26,8/7/2018 14:26,NM0KS9BN2DT915031,Yukon XL 1500,GMC,10/20/2021 20:05
bd4347a0-032a-40b2-ad6c-20292bd3aa7d,M,2/23/2019 19:16,7/2/2017,Hollyanne Lynam,Portugal,YV126MFJXF1648831,2,3/22/2020 5:33,12/7/2017 13:21,JTHDU1EF3C5597496,Mustang,Ford,6/28/2018 15:16
349547e1-6d5c-4939-9c45-e24303b1f9cd,F,4/18/2015 15:48,22-01-2021,Edik Featley,Indonesia,JH4DC44511S105446,2,5/21/2020 16:44,10/1/2020 1:04,WAUAF48H57K982480,Ram 3500,Dodge,7/20/2016 10:38
1dfa89ea-a9fd-4f4f-bbf4-5f48c29246a4,F,10/30/2015 20:13,20-04-2017,Paulette Hamnet,Indonesia,1N6AA0CC8FN166671,2,5/20/2017 6:36,3/4/2015 7:16,WVWED7AJ4DW941450,Swift,Suzuki,9/7/2020 16:44
1bb2e036-cc86-489a-aea2-1c2cbeb3cfd6,M,9/27/2020 0:05,24-09-2020,Mervin Kember,China,1FTKR1AD2AP573896,3,8/16/2015 4:49,2/8/2020 11:18,3C4PDCGBXFT632866,S-Class,Mercedes-Benz,3/31/2021 18:57
e4ef1539-377f-49e2-b220-9476865199be,F,6/23/2015 6:12,22-05-2018,Robena Frow,Mongolia,2B3CL5CT4BH232396,3,2/20/2015 1:27,6/27/2021 8:24,JM3KE2BE1F0066068,Grand Marquis,Mercury,2/12/2018 20:16
8ecd038a-75d3-458f-a76b-2c8b312fde34,F,6/18/2015 20:02,24-12-2020,Deny Walak,China,WAULC68E82A167451,1,8/26/2020 11:14,9/7/2017 15:04,WAUDL54F45N004709,Cirrus,Chrysler,1/5/2016 13:18
2f36e78a-d986-4a0f-9908-001b3d7d980c,M,9/3/2020 14:16,14-10-2020,Dewey Breddy,Portugal,SCFAB02A76G118083,1,9/19/2021 5:49,1/3/2016 1:01,1J4NF1GB6AD001465,Solara,Toyota,11/12/2018 15:07
d6c5703f-16b3-4ce7-8af6-5a625271b6c5,F,7/8/2017 15:00,13-10-2021,Anjanette Saby,Indonesia,WAUUL78E96A541016,1,6/1/2019 22:21,12/26/2018 5:17,3G5DB03E14S494622,Civic Si,Honda,9/20/2021 5:02
2c97994f-df1e-41a6-b081-1efa2a77eaae,M,12/9/2016 12:28,6/9/2018,Cynthia Delacoste,Chile,WAUVT54B73N493685,3,4/6/2016 21:46,6/23/2019 6:05,KMHFG4JG0DA139923,Ram 3500,Dodge,7/13/2019 13:47
c22390fb-a3ec-43c1-9f2b-11e1c6d7ad0f,M,12/19/2018 22:59,27-04-2018,Ricardo Trevan,China,1FTEX1CV3AF887815,2,5/26/2017 16:11,4/22/2020 15:01,WAUBNAFB7AN815032,Arnage,Bentley,9/14/2021 2:09
21a0cf06-616b-476b-922f-1f982739046f,F,10/4/2017 5:02,8/9/2015,Edithe Isitt,Indonesia,1FTEX1E8XAK284424,3,6/2/2018 22:24,4/24/2018 13:22,1G6KE57Y82U475607,Borrego,Kia,7/21/2015 20:08
4d843daa-1d10-4a8d-91cd-9f9ad46e5b5a,M,3/11/2017 19:53,16-09-2017,Bridie Salzen,Peru,1FTSS3EL3AD123239,2,1/20/2020 0:55,5/15/2017 3:08,WAU2GAFC8DN999615,Grand Cherokee,Jeep,12/16/2020 21:59
e10fd317-6b9c-4811-9014-dbb6834d6eac,F,3/24/2018 18:22,8/1/2018,Helyn Braunroth,Russia,2C3CCASG9DH209523,2,6/6/2017 18:39,9/28/2018 21:53,1C3CDFAA2FD683319,940,Volvo,5/2/2019 19:28
c3c02bbf-ea27-460e-97a7-43f6703809bc,M,4/19/2017 6:21,23-09-2020,Richie Oddie,China,WBAUP73589V554459,1,4/11/2015 14:42,3/24/2020 0:47,WAUWFAFH4AN726666,Metro,Geo,6/30/2016 5:04
6422f66f-f2ae-4d6d-9756-0fe0263df3bb,M,3/25/2020 1:25,21-03-2020,Sybil Naul,Albania,JTDKN3DP5F3105899,3,8/7/2018 16:09,1/28/2019 4:18,WAUVF98K79A954859,Tempo,Ford,8/17/2016 23:22
f20f5a48-e67e-41bc-910d-7edd93c56cc9,M,10/1/2015 21:45,18-09-2017,Lidia Puttergill,Indonesia,SCFFDABM0DG719431,2,10/13/2018 14:09,12/8/2021 19:18,WAURFAFRXDA555410,Express 2500,Chevrolet,6/2/2021 11:34
52f5776b-d83a-4e1e-8c35-f6fb5ca11e51,F,1/27/2021 23:18,2/1/2019,Brinn Wornham,Mexico,1G4CW54K834169759,3,1/11/2018 15:35,5/29/2018 13:36,5J8TB3H36GL717357,Ion,Saturn,7/12/2016 5:24
e5ee4ea4-a79d-4886-9e4b-0d0f868afbe4,M,7/2/2015 13:10,3/7/2017,Cami Mulligan,Pakistan,WAUBFAFL9BN703114,1,1/5/2016 10:57,1/25/2018 0:34,WBAFU9C57DD788197,Ram Van 1500,Dodge,4/18/2018 16:19
13f92319-8ccb-4fa5-bd75-9a037bec105f,M,6/12/2019 2:48,3/10/2018,Jacquenette Kelsell,China,2T1BURHE4FC305419,3,6/17/2017 8:05,4/10/2021 23:39,WBAFU7C54BD980923,Suburban 2500,Chevrolet,3/19/2017 20:16
73480fe4-bc87-4bc7-b135-81b19548d48a,F,12/21/2021 4:59,24-04-2020,Erek Blackstock,China,1G6DN56S450570585,2,6/1/2015 4:28,4/6/2018 2:34,WAUKF78E07A987524,S80,Volvo,10/8/2021 15:21
b645fc21-c625-4497-bf78-52dd18508744,M,8/13/2018 14:26,26-09-2015,Delia Ridgers,Portugal,KNADH4A34A6159254,1,3/30/2021 18:14,9/12/2017 16:46,SCBBR93W97C948671,323,Mazda,10/23/2021 23:31
0b17d567-27a9-4ddb-86e6-46182fb5f67a,F,7/19/2015 0:26,9/3/2015,Carla Murricanes,Aland Islands,1N6AF0LX8FN044381,2,12/19/2021 13:14,10/26/2016 5:31,WDDGF4HB4DR099343,Pacifica,Chrysler,4/15/2018 8:33
26153b65-5cc8-4814-9ac5-5f9ba6af8baa,F,12/5/2016 16:12,15-11-2018,Collen Tantum,Chile,JA32X2HU0DU803315,1,1/2/2021 0:15,5/26/2016 5:10,SALGS2EF2EA924953,Classic,Rambler,4/23/2019 4:00
7808c08c-13a3-4a81-afc1-b1cb0232d563,M,7/30/2019 9:27,18-12-2019,Gabriela Jenicke,Portugal,JN8AF5MR8CT185110,1,7/17/2020 16:16,6/29/2015 16:49,3C4PDDEG0CT731700,Shadow,Dodge,8/25/2017 5:53
6debb49b-0c02-428a-aa25-02f1ff19b640,F,8/6/2020 12:09,7/5/2020,Beatrix Englishby,Indonesia,VNKJTUD35FA612471,3,2/29/2020 16:02,6/3/2016 2:49,JTEBU5JR7F5427867,Escalade EXT,Cadillac,11/2/2019 5:05
bbcc7bcc-5e61-4bb9-90bf-3f2970158f1a,F,9/27/2019 19:53,1/9/2019,Kristina Cafferky,Iraq,WAUDGAFL8EA847710,1,7/7/2020 18:32,3/22/2018 18:42,2V4RW3DG6BR412582,Passat,Volkswagen,10/3/2017 4:41
22c825d5-a8f0-4cb3-9b36-812e4f273c14,F,4/2/2015 17:55,11/12/2016,Rosco Orr,Indonesia,WAURD68D81A833253,1,8/29/2016 1:53,6/4/2017 7:10,WAUVC58E84A967902,XK,Jaguar,7/26/2019 14:32
de16abd1-1d7f-417f-8f8c-5644fcde716f,F,7/10/2021 7:54,14-10-2019,Diahann Deppen,China,1G6DA8E50D0004978,1,12/18/2016 16:32,1/5/2021 1:20,1FBNE3BL8BD643905,Golf III,Volkswagen,11/9/2021 10:46
0a916823-691d-4b2e-9a7b-a15ecdba29b1,F,11/26/2020 7:35,18-05-2017,Rachele Sallan,Indonesia,3N6CM0KN2EK757358,1,3/24/2016 9:43,2/11/2021 8:25,WAUKF98PX9A310884,H2,Hummer,4/4/2018 17:07
df51f334-70cd-4dc0-b079-c462c9e667d7,F,12/16/2015 5:40,30-07-2015,Cedric Putley,Portugal,JN8AE2KP6C9167012,1,4/10/2020 14:24,12/25/2017 18:51,3VWAL7AJ5AM130427,F-Series,Ford,4/2/2018 11:14
c2deca56-924a-41b8-ac40-7cf7c8a66159,F,6/16/2017 15:28,9/9/2021,Carolynn Pagnin,United States,JTHHP5BC1F5058079,3,4/17/2019 9:53,6/29/2018 1:16,WP1AE2A23BL194358,Viper,Dodge,5/29/2019 8:24
0f2f808d-285a-43cc-8cbf-a17e0034863e,F,6/20/2019 16:06,14-10-2018,Miguelita Tessyman,China,WBSPM9C59AE517471,1,4/16/2020 22:04,12/18/2019 5:52,WAUGFAFC8EN027748,Suburban,Chevrolet,8/24/2021 1:49
5226a33c-33e3-4ee4-a6bb-6864f3533b36,F,7/31/2017 13:04,26-05-2019,Camile Stanlock,United States,1G4GH5E39CF544033,2,8/16/2020 19:05,7/1/2018 5:59,1GYEE637190867675,Electra,Buick,10/12/2017 0:32
8b176bba-537f-4226-983e-46e861908f88,M,6/18/2017 21:25,24-06-2021,Vally Schwandermann,New Zealand,1C4RJEAG2FC802442,2,9/20/2017 7:12,7/10/2015 6:03,1FTKR1AD7AP222062,F430,Ferrari,6/2/2019 9:24
530fb504-ed66-4e57-bdc5-79340213b5c5,M,3/14/2021 4:54,9/10/2021,Caralie Grishukhin,Malaysia,5LMJJ2H56DE166330,3,5/6/2020 0:58,11/22/2018 19:08,19VDE1F55FE590555,xB,Scion,1/11/2015 2:39
c95e3cd9-d53d-4471-ac35-55e73f7cd80d,F,4/13/2021 14:44,25-06-2016,Neila Rodgier,Peru,19XFB4F24EE713311,1,2/13/2016 10:32,10/31/2017 12:08,1YVHZ8BH7B5394767,Rodeo,Isuzu,12/4/2015 19:19
c786178d-e7de-4fb9-8a30-494186e2eacb,F,9/12/2021 14:12,18-01-2020,Kerk Canby,Portugal,1FMCU0C71CK957555,1,7/28/2018 23:50,3/12/2019 21:18,WBAGG83411D596329,Electra,Buick,7/1/2021 2:29
4ba9a812-ff4b-428a-9d01-8180c16c999c,F,10/14/2020 2:06,24-09-2019,Cobby Bowsher,China,JM1NC2EFXA0731977,1,8/7/2019 18:36,1/24/2017 21:24,3C4PDCBBXET380297,Impreza,Subaru,10/5/2021 18:53
462b2ebd-16ec-4c00-bcfd-9dfbf5f5fbae,M,2/23/2021 0:22,25-05-2015,Ulick Lehrian,Russia,1C6RD7NT3CS783791,1,10/19/2017 11:38,6/21/2016 3:08,1HGCR6F56FA640260,RX,Lexus,5/8/2017 23:12
612458a6-2a85-4d12-ae7b-132eba897360,M,1/4/2016 16:10,23-04-2019,Chaddy Ridsdole,Czech Republic,5XYKT3A69FG422808,2,2/28/2017 22:13,12/19/2020 1:01,WA1CMAFE9BD262129,Sonoma,GMC,5/4/2017 1:06
c8505836-a4da-450a-a49d-2d1c33956cf2,F,12/8/2021 22:22,17-03-2018,Kirbie Treadgall,Indonesia,1D7RB1GT4AS733395,3,12/9/2019 14:33,4/21/2016 10:03,2C4JDGAG6CR838170,944,Porsche,1/10/2018 22:57
d45ec819-7224-418d-9333-9acdff9c9b94,M,2/5/2017 8:59,1/3/2016,Mohammed Ghioni,Norway,WP0CA2A8XES791255,3,10/6/2019 15:57,4/28/2017 5:53,1G6DE5E54D0297948,Ram 2500,Dodge,3/16/2015 15:57
35ad0087-3f1e-4a4d-bcf8-cb76fce428be,F,11/25/2021 10:25,10/4/2018,Humphrey Sherville,Honduras,JN1BY0AR6AM410880,1,3/7/2020 10:17,3/11/2017 4:32,WVGAV7AX6CW147981,Grand Prix,Pontiac,4/12/2015 12:07
865557ec-5e3b-45a3-b741-d3199fb12ac5,F,1/12/2017 0:21,7/5/2016,Randall Kenzie,United States,19UUA9F73EA940190,2,5/31/2016 23:10,8/29/2017 11:22,SCBLE47K59C028100,Escalade,Cadillac,7/18/2017 7:55
515ab116-15cc-44ec-80fe-9fd31e9248e7,F,3/6/2018 19:24,2/4/2018,Mabel Moors,Sweden,1FTSW3B50AE296964,1,3/23/2015 13:43,8/26/2019 9:48,JTJHY7AXXB4434399,G,Infiniti,12/3/2021 14:47
b16f83dd-8e1d-432e-87f8-4f0e844269b1,M,12/17/2015 14:35,25-12-2018,Clarissa Stubley,Japan,WDDHH8JBXFB040485,2,10/1/2016 5:32,2/16/2020 3:30,1N6AA0EK5FN066953,LHS,Chrysler,8/20/2019 13:01
d230377c-f201-4638-93f2-6cc71faaa73a,M,11/20/2020 7:14,22-01-2017,Minetta Simmell,Indonesia,SCFEBBAC1AG517323,1,8/3/2019 12:46,8/28/2019 5:38,3C4PDCDG5DT701220,Yukon XL 2500,GMC,11/30/2019 17:31
4c334661-6f17-4749-b78f-95cdfe008690,M,12/21/2018 21:34,13-04-2015,Sonja Adamczewski,Russia,1GYFK26259R449766,1,11/1/2021 17:45,8/22/2018 15:31,WAULC68E12A207045,FJ Cruiser,Toyota,7/20/2018 2:31
9683e203-a006-4175-baf1-5d0f71f32a0d,F,7/19/2016 20:11,27-09-2019,Aloin Ginnell,Malaysia,1C4SDJCT0FC879435,2,9/11/2015 13:14,4/14/2015 10:46,1FBSS3BL7AD061417,IPL G,Infiniti,8/31/2019 21:44
4aec174c-b08f-448a-bcf6-d95daf42c801,F,12/15/2017 0:26,27-07-2015,Kare Cicco,Philippines,1G6DG5EG8A0711014,1,9/14/2019 2:16,1/10/2017 0:40,1G6YV34A455067738,Leone,Subaru,1/31/2018 3:18
54bbda9f-b5da-4912-99a8-717c2fa719bd,M,7/15/2019 2:30,1/10/2021,Amitie Curtoys,Poland,1G6DZ67A080203705,2,9/23/2020 9:58,9/28/2019 17:40,3C4PDDAG5FT774987,IPL G,Infiniti,7/10/2015 5:31
eea23c25-cab6-4b50-bbda-836e57c9e0ff,F,9/5/2017 14:06,31-10-2015,Lorna Stanlock,China,SCBLF34FX5C611674,1,12/15/2017 7:06,10/9/2021 10:23,JN8AF5MV4FT620125,Escort,Ford,8/6/2018 4:21
6db6a9ba-e21c-49f4-b706-9e8c6bbcf3dc,F,7/9/2021 21:50,5/10/2015,Eleni Balfre,Palestinian Territory,WP0CA2A89FS196902,1,9/24/2016 3:22,8/1/2019 15:10,JH4KB16567C298430,Outlander,Mitsubishi,4/17/2015 20:52
0ae8f224-1fee-44aa-9e2e-d1d00382b5a3,F,2/29/2016 16:44,4/8/2021,Bria Sturgis,Iran,1C6RD7LP0CS758322,1,2/1/2015 7:14,8/7/2018 19:47,WVGEP9BP6FD833279,Quest,Nissan,2/14/2018 19:19
ba48919d-42bb-4a6b-8cab-01f1e6fbf9be,M,9/13/2021 5:59,6/3/2016,Felicdad Till,Croatia,3C6TD4CT7CG931973,2,1/15/2015 9:20,7/23/2017 17:35,1D7RE3BK9AS038542,XJ,Jaguar,9/11/2017 1:53
e5a8c7eb-c67d-4ff5-bf9b-18f159f4e6b5,F,7/25/2021 14:16,10/12/2019,Fairlie Rooke,New Caledonia,KMHGH4JH4EU522967,1,8/9/2017 11:31,7/1/2016 5:06,WBA3A5C54EJ043608,Golf III,Volkswagen,2/8/2018 9:59
332863f9-5872-44fd-8c45-f43f860ef12a,M,12/28/2021 14:24,4/4/2017,Joachim Boag,France,WAUAH74F39N327770,3,9/9/2016 22:25,5/6/2020 9:42,WBAKG1C58DJ993861,New Yorker,Chrysler,8/12/2017 9:14
72755b89-8f6c-441d-bedf-eead1f108780,F,12/14/2018 14:49,11/8/2020,Brody Gomm,Albania,5N1BA0ND1FN303393,3,9/1/2017 7:15,4/3/2018 19:07,19UUA66277A399571,7 Series,BMW,12/6/2016 8:30
358399e9-5b31-430f-be35-714e4dd22af8,M,12/14/2020 21:04,28-04-2016,Kayne Showen,Czech Republic,WAUKG74F76N781099,1,2/1/2019 4:35,3/2/2021 15:28,1G6DM5EY4B0453402,Caliber,Dodge,9/18/2021 2:30
b0fbdc38-73cc-4db5-974d-a1607d64dfff,F,3/31/2021 1:42,5/2/2021,Ann Champniss,Latvia,WAUDH94F87N988622,2,8/28/2017 1:22,12/1/2018 22:39,JM1GJ1T56F1089164,7 Series,BMW,5/30/2017 18:51
54081725-ffe1-467d-a171-92fb2c1c19a0,M,3/5/2021 17:10,29-07-2018,Zonnya Kissock,Cuba,WAUAH98E98A486747,1,4/21/2017 23:07,4/19/2019 1:13,2D4RN4DG9BR297661,Aztek,Pontiac,10/16/2019 5:06
27659f95-16fd-4234-b6bf-b7b87bba2171,M,12/7/2020 0:51,2/10/2018,Benni Roper,Brazil,1GD22ZCG5CZ070833,2,5/8/2018 0:15,9/5/2016 5:40,5FRYD3H21GB965250,Paseo,Toyota,11/15/2019 9:08
bc958330-156d-4b4f-8203-7e0c9393394d,F,10/10/2017 3:27,11/11/2016,Terri-jo Dutteridge,Peru,NM0GE9F73F1430727,1,3/14/2019 0:21,5/21/2021 21:40,1C4RDJDG9CC091748,E-Class,Mercedes-Benz,9/16/2016 20:47
b240ebfe-0887-46c4-824b-ff3ad61bfb87,M,12/13/2016 21:51,4/1/2019,Ruthie Fowlie,Greece,1D7RE2GK6BS617752,2,4/25/2019 1:13,7/12/2018 19:07,WAU3FAFR1AA309606,Thunderbird,Ford,10/10/2018 17:47
